food,Caloric Value,Fat,Carbohydrates
cream cheese,51,5.0,0.8
neufchatel cheese,215,19.4,3.1
requeijao cremoso light catupiry,49,3.6,0.9
ricotta cheese,30,2.0,1.5
cream cheese low fat,30,2.3,1.2
cream cheese fat free,19,0.2,1.4
gruyere cheese,116,9.1,0.1
cheddar cheese,113,9.3,0.9
parmesan cheese,71,4.5,0.6
romano cheese,19,1.3,0.2
parmesan cheese grated,21,1.4,0.7
port salut cheese,465,37.2,0.8
swiss cheese,98,7.7,0.4
goat cheese hard,128,10.1,0.6
gouda cheese,100,7.7,0.6
pepper jack cheese lucerne,75,6.0,0.0
caraway cheese,106,8.3,0.9
gjetost cheese,1058,67.0,96.8
tilsit cheese,136,10.4,0.8
goat cheese,103,8.4,0.009
brick cheese,111,8.9,0.8
asadero cheese,402,31.9,3.2
camembert cheese,90,7.3,0.1
provolone cheese reduced fat,310,19.9,4.0
roquefort cheese,314,26.0,1.7
queso blanco cheese,366,28.7,3.0
queso seco cheese,315,23.6,2.0
goat cheese soft,75,6.0,0.0
mozzarella cheese,90,6.6,0.7
chihuahua cheese,494,39.2,7.3
limburger cheese,98,8.2,0.1
muenster cheese,486,39.7,1.5
queso fresco cheese,365,29.1,3.6
brie cheese,100,8.3,0.1
pimento cheese,525,43.7,2.4
mexican cheese,316,21.7,3.8
feta cheese,80,6.4,1.2
mozzarella cheese fat free,159,0.0,4.0
provolone cheese,463,35.1,2.8
anejo cheese,492,39.6,6.1
honey,64,0.0,17.3
apple butter,35,0.063,8.5
fruit jam,56,0.095,13.8
chocolate hazelnut spread,100,5.5,11.5
peanut butter,88,7.4,3.6
peanut spread,101,8.5,2.2
chicken spread,88,9.8,2.3
cheese spread,708,68.6,8.4
tahini,86,7.2,3.9
orange marmalade,49,0.0,13.3
american cheese spread,46,3.4,1.4
apricot jam,48,0.01,12.9
chunky peanut butter,94,8.0,3.5
ham and cheese spread,37,2.8,0.3
chicken and rice casserole homade,27,1.0,2.4
picnic loaf,65,4.7,1.3
corn tamale,309,12.0,44.3
baked potato with cheese sauce bacon,451,25.9,44.4
chinese egg roll,223,10.6,24.3
butter croissant,231,12.0,26.1
enchilada with cheese beef,323,17.6,30.5
corned beef hash with potatoes,387,24.2,21.9
biscuit with egg cheese bacon,436,25.3,35.4
bagel with ham egg cheese,483,18.5,52.4
quesadilla with chicken,529,27.5,43.3
corn rice,110,0.3,25.2
kung pao chicken,779,42.2,41.5
beef empanada,298,16.3,27.8
frijoles with cheese,225,7.8,28.7
burrito with beef,285,8.1,43.9
crispy chicken sandwich,350,17.6,33.2
enchilada with cheese,374,25.3,21.2
pork egg roll,189,6.1,25.1
corn on the cob with butter,155,3.4,31.9
pancakes with butter syrup,260,7.0,45.4
burrito with beans,224,6.7,35.7
scrambled eggs,100,7.6,1.0
baked potato with sour cream,393,22.3,50.0
turkey and gravy,161,6.3,11.1
chicken egg roll,158,3.6,22.8
vegetable egg roll,153,3.6,25.0
ham cheese roll,67,5.2,1.1
biscuit with ham,386,18.4,43.8
lemon chicken,1440,74.9,122.0
hummus,435,21.1,49.5
croissant with egg cheese,368,24.7,24.3
enchirito with cheese beef beans,344,16.1,33.8
sweet sour pork,38,2.2,3.3
crab cake,160,10.4,5.1
egg dinner roll,107,2.2,18.2
english muffin with egg cheese sausage,472,29.9,28.8
buttermilk pancakes,86,3.5,10.9
omelet,94,7.1,0.4
taco with chicken cheese lettuce,185,6.2,19.3
spinach souffle,230,17.6,8.0
english muffin with cheese sausage,365,22.3,27.3
